Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,9245.549805,9430.339844,9138.639648,9204.259766,13349400,9204.259766
2016-11-01,9272.299805,9296.860352,8879.69043,9240.709961,1949900,9240.707031
2016-10-03,9219.519531,9399.969727,9074.990234,9290.120117,1525400,9290.111328
2016-09-01,9055.730469,9303.129883,8885.549805,9166.849609,1764500,9166.84082
2016-08-01,9008.740234,9200.419922,8928.330078,9068.849609,1894500,9068.84082
2016-07-01,8692.480469,9085.910156,8569.150391,8984.410156,2095800,8984.400391
2016-06-01,8516.080078,8754.820312,8374.259766,8666.580078,1755700,8666.570312
2016-05-03,8362.349609,8563.400391,7999.97998,8535.589844,1694500,8535.569336
2016-04-01,8700.379883,8743.349609,8352.230469,8377.900391,1658200,8377.879883
2016-03-01,8381.379883,8840.75,8378.05957,8744.830078,2193700,8744.808594
2016-02-01,8164.240234,8432.740234,7953.990234,8411.160156,2019600,8411.139648
2016-01-04,8315.790039,8326.330078,7627.890137,8080.600098,1994900,8080.568359
2015-12-01,8359.269531,8535.360352,7980.589844,8338.05957,1838800,8338.026367
2015-11-02,8571.530273,8871.870117,8217.339844,8320.610352,2016100,8320.577148
2015-10-01,8194.299805,8757.139648,8170.779785,8554.30957,2044300,8554.276367
2015-09-01,8117.50,8488.530273,7907.310059,8181.240234,2117000,8181.208008
2015-08-03,8636.530273,8636.530273,7203.069824,8174.919922,2394700,8174.887695
2015-07-01,9311.759766,9404.759766,8516.230469,8665.339844,2042400,8665.305664
2015-06-01,9688.129883,9692.339844,9170.089844,9323.019531,2144500,9322.982422
2015-05-01,9841.150391,9894.900391,9536.160156,9701.070312,2259500,9701.032227
2015-04-01,9575.110352,10014.280273,9503.530273,9820.049805,2514500,9820.010742
2015-03-02,9665.110352,9775.629883,9472.540039,9586.44043,2183700,9586.402344
2015-02-02,9368.830078,9699.540039,9352.19043,9622.099609,1225300,9622.061523
2015-01-02,9260.459961,9523.730469,9043.44043,9361.910156,2213100,9361.873047
2014-12-01,9038.410156,9338.05957,8826.030273,9307.259766,2086200,9307.223633
2014-11-03,9009.379883,9217.730469,8828.150391,9187.150391,1803500,9187.114258
2014-10-01,8958.870117,9122.540039,8501.290039,8974.759766,1953800,8974.724609
2014-09-01,9474.410156,9532.660156,8860.169922,8966.919922,1912800,8966.884766
2014-08-01,9223.75,9502.419922,9014.889648,9436.269531,2317000,9436.232422
2014-07-01,9393.070312,9593.679688,9313.870117,9315.849609,2932300,9315.8125
2014-06-03,9106.610352,9393.070312,9070.450195,9393.070312,2604700,9393.033203
2014-05-02,8846.860352,9139.570312,8803.429688,9075.910156,2334300,9075.874023
2014-04-01,8847.339844,9022.280273,8671.650391,8791.44043,2428300,8791.40625
2014-03-03,8627.150391,8849.280273,8508.009766,8849.280273,2461000,8849.245117
2014-02-05,8290.169922,8647.900391,8230.459961,8639.580078,2490600,8639.545898
2014-01-02,8618.599609,8668.950195,8442.19043,8462.570312,2728700,8462.537109
2013-12-02,8429.240234,8647.240234,8313.870117,8611.509766,2025700,8611.475586
2013-11-01,8474.469727,8476.629883,8093.819824,8406.830078,2144000,8406.796875
2013-10-01,8173.990234,8469.580078,8172.790039,8450.05957,2346500,8450.026367
2013-09-02,8010.149902,8310.94043,7993.129883,8173.870117,2182400,8173.837891
2013-08-01,8110.72998,8162.910156,7737.330078,8021.890137,2055300,8021.858398
2013-07-01,8011.950195,8265.700195,7877.060059,8107.939941,2230100,8107.908203
2013-06-03,8177.970215,8250.169922,7663.22998,8062.209961,2296900,8062.178223
2013-05-02,8111.430176,8439.150391,8095.700195,8254.799805,2589800,8254.767578
2013-04-01,7934.25,8115.589844,7688.620117,8093.660156,2024900,8093.628418
2013-03-01,7917.720215,8089.209961,7786.560059,7918.609863,2199600,7918.578613
2013-02-01,7853.75,8029.100098,7832.00,7897.97998,2138000,7897.94873
2013-01-02,7738.049805,7855.160156,7603.27002,7850.02002,2316600,7849.989258
2012-12-03,7582.649902,7757.089844,7491.52002,7699.50,2388000,7699.469727
2012-11-01,7141.970215,7590.689941,7050.049805,7580.169922,1870900,7580.140137
2012-10-01,7702.120117,7727.529785,7091.189941,7166.049805,1678300,7166.021484
2012-09-03,7430.399902,7789.390137,7313.560059,7715.160156,2397900,7715.129883
2012-08-01,7242.580078,7536.319824,7186.779785,7397.060059,1944300,7397.030762
2012-07-02,7332.089844,7442.549805,6922.72998,7270.490234,1700800,7270.461426
2012-06-01,7213.689941,7334.629883,6857.350098,7296.279785,1623000,7296.250977
2012-05-02,7511.759766,7704.870117,7047.319824,7301.50,1868500,7301.471191
2012-04-02,7905.879883,7928.430176,7422.140137,7501.720215,1868700,7501.690918
2012-03-01,8127.569824,8170.720215,7775.75,7933.00,2615600,7932.96875
2012-02-01,7520.359863,8121.439941,7488.970215,8121.439941,3818500,8121.408203
2012-01-02,7071.350098,7517.080078,6948.669922,7517.080078,2742000,7517.050293
2011-12-01,7132.410156,7199.259766,6609.109863,7072.080078,1937700,7072.052246
2011-11-01,7547.240234,7683.089844,6744.259766,6904.120117,2392700,6904.092773
2011-10-03,7128.660156,7743.370117,6889.990234,7587.689941,2271100,7587.660156
2011-09-01,7799.180176,7886.040039,6877.120117,7225.379883,2627100,7225.351562
2011-08-01,8629.969727,8707.870117,7148.759766,7741.359863,3220700,7741.32959
2011-07-01,8684.389648,8842.169922,8410.44043,8644.179688,2696800,8644.145508
2011-06-01,8999.839844,9089.469727,8433.459961,8652.589844,2188600,8652.555664
2011-05-03,9014.330078,9082.009766,8673.379883,8988.839844,2468600,8988.804688
2011-04-01,8697.839844,9099.75,8592.230469,9007.870117,2816300,9007.834961
2011-03-01,8611.790039,8829.230469,8070.52002,8683.299805,2876600,8683.265625
2011-02-08,9220.69043,9220.69043,8470.089844,8599.650391,3653800,8599.616211
2011-01-03,9039.629883,9154.929688,8738.929688,9145.349609,3915600,9145.313477
2010-12-01,8430.599609,8990.379883,8428.639648,8972.50,3982500,8972.464844
2010-11-01,8343.519531,8473.660156,8226.709961,8372.480469,2904300,8372.447266
2010-10-01,8259.080078,8386.290039,7992.810059,8287.089844,4110100,8287.057617
2010-09-01,7643.609863,8286.929688,7625.720215,8237.780273,4686700,8237.748047
2010-08-02,7829.189941,8054.290039,7577.100098,7616.279785,4934400,7616.25
2010-07-01,7326.890137,7807.069824,7251.600098,7760.629883,4006900,7760.599121
2010-06-01,7327.009766,7645.709961,7048.600098,7329.370117,3129500,7329.341309
