 ,當期價格, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1.1國內生產毛額 GDP, ,2.7國民可支配所得 : 2.5+2.6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,原始值, 年增率(%),原始值, 年增率(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,1219596,20.57,1090783,19.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,1522625,24.85,1359898,24.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,1805043,18.55,1609685,18.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,1938394,7.39,1736648,7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,2170005,11.95,1944626,11.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,2418884,11.47,2198954,13.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,2536012,4.84,2316959,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,2966911,16.99,2761646,19.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,3344962,12.74,3087090,11.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,3615319,8.08,3331922,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4033071,11.56,3739488,12.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,4480288,11.09,4167259,11.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,5023763,12.13,4690171,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,5614679,11.76,5151732,9.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,6205338,10.52,5659516,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,6784442,9.33,6164888,8.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,7396650,9.02,6642268,7.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,8036590,8.65,7231774,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,8717241,8.47,7843998,8.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,9381141,7.62,8345435,6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,9815595,4.63,8694931,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,10351260,5.46,9188051,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,10158209,-1.87,8923433,-2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,10680883,5.15,9417956,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,10965866,2.67,9791153,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,11649645,6.24,10339139,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,12092254,3.8,10595278,2.48,,, , , ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2006,12640803,4.54,10988819,3.71,,,當期價格,1.1國內生產毛額 GDP,原始值,12327,17275,23036,25315,30163,34672,40549,45498,52526,63398,71128,78412,88740,103673,114771,128282,148360,173026,200707,231427,269114,322536,418495,560129,601827,721583,845657,1011501,1219596,1522625,1805043,1938394,2170005,2418884,2536012,2966911,3344962,3615319,4033071,4480288,5023763,5614679,6205338,6784442,7396650,8036590,8717241,9381141,9815595,10351260,10158209,10680883,10965866,11649645,12092254,12640803,13407062,13150950,12961656,14119213,14312200,14686917,15230739,16111867,16759016
2007,13407062,6.06,11466032,4.34,,, , , 年增率(%),-,40.14,33.35,9.89,19.15,14.95,16.95,12.2,15.45,20.7,12.19,10.24,13.17,16.83,10.7,11.77,15.65,16.63,16,15.31,16.28,19.85,29.75,33.84,7.44,19.9,17.19,19.61,20.57,24.85,18.55,7.39,11.95,11.47,4.84,16.99,12.74,8.08,11.56,11.09,12.13,11.76,10.52,9.33,9.02,8.65,8.47,7.62,4.63,5.46,-1.87,5.15,2.67,6.24,3.8,4.54,6.06,-1.91,-1.44,8.93,1.37,2.62,3.7,5.79,4.02
2008,13150950,-1.91,11073625,-3.42,,, ,2.7國民可支配所得 : 2.5+2.6,原始值,13014,18172,23994,26200,30990,34971,40245,45828,52758,63694,71486,76421,85959,99325,109941,122229,140655,162947,188033,216776,251670,300645,385850,508839,538697,646121,757261,912702,1090783,1359898,1609685,1736648,1944626,2198954,2316959,2761646,3087090,3331922,3739488,4167259,4690171,5151732,5659516,6164888,6642268,7231774,7843998,8345435,8694931,9188051,8923433,9417956,9791153,10339139,10595278,10988819,11466032,11073625,10914125,12108256,12181569,12414824,13025880,13934505,14523038
2009,12961656,-1.44,10914125,-1.44,,, , , 年增率(%),-,39.63,32.04,9.19,18.28,12.85,15.08,13.87,15.12,20.73,12.23,6.9,12.48,15.55,10.69,11.18,15.07,15.85,15.4,15.29,16.1,19.46,28.34,31.87,5.87,19.94,17.2,20.53,19.51,24.67,18.37,7.89,11.98,13.08,5.37,19.19,11.78,7.93,12.23,11.44,12.55,9.84,9.86,8.93,7.74,8.88,8.47,6.39,4.19,5.67,-2.88,5.54,3.96,5.6,2.48,3.71,4.34,-3.42,-1.44,10.94,0.61,1.91,4.92,6.98,4.22
2010,14119213,8.93,12108256,10.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,14312200,1.37,12181569,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,14686917,2.62,12414824,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6642268,8694931,9791153,11466032,12181569,14523038,,,
2013,15230739,3.7,13025880,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,16111867,5.79,13934505,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,16759016,4.02,14523038,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(http://www.stat.gov.tw/lp.asp?ctNode=2404&CtUnit=1088&BaseDSD=7) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
more ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(http://www.stat.gov.tw/lp.asp?CtNode=1829&CtUnit=690&BaseDSD=7&xq_xC-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at=17) 國情統計通報 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2014~2015年為修正數 2.以2011年為參考年計算之連鎖實質值不具可加性 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
